frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
375,37.871,37.96,26.19,0,0.0,0.0,0.0
376,37.973,38.87,26.19,0,0.0,0.0,0.0
377,38.075,40.54,26.16,0,0.0,0.0,0.0
378,38.172,38.24,26.09,0,0.0,0.0,0.0
379,38.273,39.19,26.05,1,0.835,2.304,1022.0
380,38.374,39.4,26.05,1,0.8358,2.313,860.0
381,38.472,38.26,26.06,0,0.0,0.0,0.0
382,38.573,38.69,26.07,0,0.0,0.0,0.0
383,38.674,39.06,26.07,0,0.0,0.0,0.0
384,38.774,38.71,26.03,0,0.0,0.0,0.0
385,38.875,40.12,25.98,1,0.7239,2.304,637.0
386,38.973,38.0,26.04,0,0.0,0.0,0.0
387,39.074,39.42,26.04,0,0.0,0.0,0.0
388,39.173,37.95,26.07,0,0.0,0.0,0.0
389,39.274,39.02,26.07,0,0.0,0.0,0.0
390,39.374,38.78,26.08,0,0.0,0.0,0.0
391,39.475,39.48,26.04,0,0.0,0.0,0.0
392,39.574,38.33,26.06,0,0.0,0.0,0.0
393,39.674,38.51,26.07,0,0.0,0.0,0.0
394,39.769,35.02,26.14,0,0.0,0.0,0.0
395,39.873,37.31,26.16,0,0.0,0.0,0.0
396,39.975,38.81,26.15,1,0.7181,2.339,675.0
397,40.073,38.01,26.17,0,0.0,0.0,0.0
398,40.175,38.73,26.16,0,0.0,0.0,0.0
399,40.275,39.57,26.13,0,0.0,0.0,0.0
400,40.369,34.29,26.18,0,0.0,0.0,0.0
401,40.47,35.61,26.22,0,0.0,0.0,0.0
402,40.569,34.38,26.22,0,0.0,0.0,0.0
403,40.675,38.48,26.22,0,0.0,0.0,0.0
404,40.774,38.38,26.15,0,0.0,0.0,0.0
405,40.873,37.34,26.17,0,0.0,0.0,0.0
406,40.974,38.48,26.18,0,0.0,0.0,0.0
407,41.076,39.4,26.2,0,0.0,0.0,0.0
408,41.176,38.78,26.19,0,0.0,0.0,0.0
409,41.272,36.26,26.26,0,0.0,0.0,0.0
410,41.37,34.95,26.36,0,0.0,0.0,0.0
411,41.474,37.89,26.37,0,0.0,0.0,0.0
412,41.575,37.95,26.38,0,0.0,0.0,0.0
413,41.675,38.16,26.41,0,0.0,0.0,0.0
414,41.775,38.2,26.42,0,0.0,0.0,0.0
415,41.875,38.17,26.46,0,0.0,0.0,0.0
416,41.976,38.65,26.45,0,0.0,0.0,0.0
417,42.075,38.03,26.48,0,0.0,0.0,0.0
418,42.176,38.69,26.46,0,0.0,0.0,0.0
419,42.275,38.25,26.48,0,0.0,0.0,0.0
420,42.375,38.35,26.49,0,0.0,0.0,0.0
421,42.476,38.95,26.5,0,0.0,0.0,0.0
422,42.576,38.17,26.51,0,0.0,0.0,0.0
423,42.676,38.44,26.51,0,0.0,0.0,0.0
424,42.776,38.78,26.42,0,0.0,0.0,0.0
425,42.874,36.57,26.44,0,0.0,0.0,0.0
426,42.976,38.53,26.44,0,0.0,0.0,0.0
427,43.075,37.49,26.46,0,0.0,0.0,0.0
428,43.175,37.72,26.48,0,0.0,0.0,0.0
429,43.277,38.88,26.5,0,0.0,0.0,0.0
430,43.376,37.79,26.41,0,0.0,0.0,0.0
431,43.474,36.28,26.4,0,0.0,0.0,0.0
432,43.574,36.6,26.35,0,0.0,0.0,0.0
433,43.677,38.74,26.34,0,0.0,0.0,0.0
434,43.774,36.61,26.38,0,0.0,0.0,0.0
435,43.876,37.75,26.37,0,0.0,0.0,0.0
436,43.974,36.57,26.42,0,0.0,0.0,0.0
437,44.077,39.15,26.42,0,0.0,0.0,0.0
